replicate	generation	Ktl	Kce	Kbr	Htl	Hce	Hbr	Dtl	Dce	Dbr
0	0	100	104	103	0.200622	0.543564	0.696212	0.03125	0.125	0.1875
1	0	101	106	103	0.625262	0.757878	0.661976	0.15625	0.21875	0.171875
2	0	109	108	107	0.811278	0.954434	0.728134	0.25	0.375	0.203125
3	0	109	107	109	0.988699	0.896038	0.993651	0.4375	0.3125	0.453125
4	0	109	109	108	0.988699	0.993651	0.965202	0.4375	0.546875	0.609375
5	0	109	108	108	0.982317	0.942163	0.999295	0.578125	0.640625	0.515625
6	0	108	105	108	0.988699	0.857148	0.835116	0.5625	0.71875	0.734375
7	0	106	106	103	0.857148	0.728134	0.728134	0.71875	0.796875	0.796875
8	0	104	103	103	0.498028	0.448864	0.395538	0.890625	0.90625	0.921875
