replicate	generation	window	K	H	S
0	61	32	87	2	4
0	61	64	79	-0	1
0	62	1	338	0.369811	291
0	62	2	255	0.920103	181
0	62	4	211	1.88067	88
0	62	8	184	3.2659	38
0	62	16	110	3.625	14
0	62	32	85	1.5	4
0	62	64	79	-0	1
0	63	1	346	0.375221	297
0	63	2	261	0.930872	179
0	63	4	212	1.91522	89
0	63	8	184	3.32672	39
0	63	16	107	3.75	14
0	63	32	86	2	4
0	63	64	79	-0	1
0	64	1	331	0.357005	277
0	64	2	254	0.90621	178
0	64	4	204	1.8321	86
0	64	8	179	3.09519	37
0	64	16	108	3.25	14
0	64	32	86	2	4
0	64	64	79	-0	1
0	65	1	332	0.370716	292
0	65	2	256	0.913291	172
0	65	4	210	1.80934	82
0	65	8	179	3.19382	38
0	65	16	109	3.625	14
0	65	32	84	1.5	4
0	65	64	79	-0	1
0	66	1	337	0.377908	300
0	66	2	258	0.94198	185
0	66	4	212	1.87874	86
0	66	8	176	3.05436	37
0	66	16	109	3.625	14
0	66	32	84	2	4
0	66	64	79	-0	1
0	67	1	341	0.408445	335
0	67	2	262	0.985246	189
0	67	4	222	1.95273	87
0	67	8	191	3.44718	39
0	67	16	107	3.625	14
0	67	32	86	2	4
0	67	64	79	-0	1
0	68	1	336	0.364355	285
0	68	2	257	0.922949	179
0	68	4	207	1.81632	86
0	68	8	179	3.22507	38
0	68	16	110	3.5	14
0	68	32	86	2	4
0	68	64	79	-0	1
0	69	1	326	0.364355	285
0	69	2	263	0.906586	170
0	69	4	209	1.79731	81
0	69	8	180	3.17096	40
0	69	16	108	3.625	14
0	69	32	87	2	4
0	69	64	79	-0	1
0	70	1	314	0.327677	246
0	70	2	249	0.844286	165
0	70	4	200	1.7322	81
0	70	8	170	3.08176	39
0	70	16	109	3.625	14
0	70	32	87	1.5	4
0	70	64	78	-0	1
0	71	1	308	0.324764	243
0	71	2	245	0.825797	156
0	71	4	201	1.68368	77
0	71	8	177	3.13468	39
0	71	16	106	3.625	14
0	71	32	87	2	4
0	71	64	78	-0	1
0	72	1	305	0.32379	242
0	72	2	248	0.813177	150
0	72	4	206	1.62418	71
0	72	8	174	3.05694	37
0	72	16	109	3.625	14
0	72	32	87	2	4
0	72	64	78	-0	1
0	73	1	309	0.314952	233
0	73	2	244	0.804217	148
0	73	4	198	1.65523	77
0	73	8	172	3.03031	38
0	73	16	109	3.45282	14
0	73	32	87	1.5	4
0	73	64	78	-0	1
0	74	1	291	0.318896	237
0	74	2	240	0.795008	144
0	74	4	198	1.62856	74
0	74	8	174	2.99952	37
0	74	16	108	3.32782	14
0	74	32	88	2	4
0	74	64	78	-0	1
0	75	1	311	0.318896	237
0	75	2	245	0.820456	155
0	75	4	201	1.66111	75
0	75	8	178	2.9986	36
0	75	16	109	3.75	14
0	75	32	86	2	4
0	75	64	78	-0	1
0	76	1	306	0.316927	235
0	76	2	239	0.793779	148
0	76	4	204	1.6458	74
0	76	8	169	2.93179	35
0	76	16	109	3.5	14
0	76	32	87	2	4
0	76	64	78	-0	1
0	77	1	302	0.320858	239
0	77	2	237	0.790924	146
0	77	4	202	1.65463	73
0	77	8	178	2.94189	33
0	77	16	107	3.625	14
0	77	32	86	2	4
0	77	64	78	-0	1
0	78	1	297	0.315941	234
0	78	2	238	0.804468	151
0	78	4	199	1.65157	75
0	78	8	165	2.86733	34
0	78	16	107	3.625	14
0	78	32	87	1.5	4
0	78	64	78	-0	1
0	79	1	303	0.311978	230
0	79	2	239	0.786218	147
0	79	4	202	1.59186	69
0	79	8	173	2.77602	33
0	79	16	104	3.625	14
0	79	32	86	2	4
0	79	64	78	-0	1
0	80	1	303	0.324764	243
0	80	2	244	0.808946	148
0	80	4	207	1.64236	70
0	80	8	176	2.85337	32
0	80	16	108	3.45282	14
0	80	32	87	2	4
0	80	64	78	-0	1
0	81	1	305	0.319878	238
0	81	2	246	0.80296	147
0	81	4	202	1.63104	71
0	81	8	177	2.97287	34
0	81	16	105	3.32782	14
0	81	32	86	1.5	4
0	81	64	78	-0	1
0	82	1	304	0.347695	267
0	82	2	248	0.846521	154
0	82	4	206	1.67681	73
0	82	8	178	2.98921	34
0	82	16	109	3.5	14
0	82	32	87	2	4
0	82	64	79	-0	1
0	83	1	323	0.345816	265
0	83	2	250	0.86114	162
0	83	4	213	1.75146	79
0	83	8	177	3.05434	36
0	83	16	108	3.32782	14
0	83	32	87	2	4
0	83	64	79	-0	1
0	84	1	316	0.367997	289
0	84	2	253	0.907077	171
0	84	4	212	1.78906	81
0	84	8	178	3.12866	37
0	84	16	106	3.75	14
0	84	32	87	2	4
0	84	64	79	-0	1
0	85	1	317	0.361609	282
0	85	2	251	0.901089	177
0	85	4	205	1.77195	84
0	85	8	183	3.31996	39
0	85	16	106	3.75	14
0	85	32	87	2	4
0	85	64	79	-0	1
0	86	1	335	0.395538	320
0	86	2	262	0.981169	191
0	86	4	215	1.93564	88
0	86	8	179	3.19116	37
0	86	16	108	3.45282	14
0	86	32	87	2	4
0	86	64	79	-0	1
0	87	1	343	0.417746	346
0	87	2	259	1.02209	204
0	87	4	213	2.00779	93
0	87	8	182	3.25476	38
0	87	16	108	3.75	14
0	87	32	86	2	4
0	87	64	79	-0	1
0	88	1	338	0.408445	335
0	88	2	258	1.01331	199
0	88	4	225	2.01182	93
0	88	8	186	3.35187	39
0	88	16	108	3.875	14
0	88	32	87	2	4
0	88	64	79	-0	1
0	89	1	334	0.371619	293
0	89	2	259	0.934701	180
0	89	4	206	1.8464	87
0	89	8	182	3.24476	39
0	89	16	109	3.375	14
0	89	32	84	2	4
0	89	64	79	-0	1
0	90	1	320	0.363441	284
0	90	2	260	0.915584	179
0	90	4	206	1.80509	86
0	90	8	176	3.02659	37
0	90	16	109	3.5	14
0	90	32	86	2	4
0	90	64	79	-0	1
0	91	1	332	0.382362	305
0	91	2	262	0.955994	186
0	91	4	213	1.88229	86
0	91	8	182	3.1656	37
0	91	16	107	3.75	14
0	91	32	87	2	4
0	91	64	79	-0	1
0	92	1	336	0.388545	312
0	92	2	258	0.963753	185
0	92	4	211	1.88501	86
0	92	8	177	3.11076	37
0	92	16	109	3.45282	14
0	92	32	85	2	4
0	92	64	79	-0	1
0	93	1	338	0.378801	301
0	93	2	264	0.947108	192
0	93	4	212	1.88666	87
0	93	8	178	3.14468	38
0	93	16	108	3.375	14
0	93	32	86	2	4
0	93	64	79	-0	1
0	94	1	330	0.392051	316
0	94	2	259	0.964196	187
0	94	4	214	1.84935	81
0	94	8	186	3.28294	37
0	94	16	108	3.625	14
0	94	32	86	2	4
0	94	64	79	-0	1
0	95	1	339	0.385902	309
0	95	2	259	0.950839	183
0	95	4	213	1.88402	84
0	95	8	187	3.22019	37
0	95	16	107	3.57782	13
0	95	32	86	2	4
0	95	64	79	-0	1
0	96	1	338	0.400732	326
0	96	2	257	0.969239	186
0	96	4	214	1.89213	85
0	96	8	188	3.2399	37
0	96	16	109	3.57782	13
0	96	32	85	2	4
0	96	64	79	-0	1
0	97	1	342	0.415223	343
0	97	2	260	1.00709	195
0	97	4	219	1.97123	90
0	97	8	186	3.3617	39
0	97	16	106	3.70282	13
0	97	32	86	2	4
0	97	64	79	-0	1
0	98	1	346	0.41269	340
0	98	2	265	1.01869	199
0	98	4	222	2.01386	92
0	98	8	182	3.18	36
0	98	16	108	3.70282	13
0	98	32	86	2	4
0	98	64	79	-0	1
0	99	1	338	0.393797	318
0	99	2	261	0.957841	186
0	99	4	210	1.92727	89
0	99	8	186	3.19789	36
0	99	16	108	3.45282	13
0	99	32	87	2	4
0	99	64	79	-0	1
0	100	1	347	0.405885	332
0	100	2	260	0.979094	185
0	100	4	212	1.92488	88
0	100	8	180	3.13851	36
0	100	16	111	3.75	14
0	100	32	86	2	4
0	100	64	79	-0	1
0	101	1	344	0.394668	319
0	101	2	261	0.976597	190
0	101	4	216	1.97487	92
0	101	8	185	3.24756	37
0	101	16	109	3.75	14
0	101	32	87	2	4
0	101	64	79	-0	1
0	102	1	337	0.384135	307
0	102	2	257	0.95341	183
0	102	4	209	1.8816	86
0	102	8	178	3.14045	37
0	102	16	108	3.625	14
0	102	32	87	2	4
0	102	64	79	-0	1
0	103	1	340	0.3903	314
0	103	2	260	0.956582	182
0	103	4	212	1.83216	82
0	103	8	186	3.14858	35
0	103	16	107	3.75	14
0	103	32	87	2	4
0	103	64	79	-0	1
0	104	1	339	0.395538	320
0	104	2	256	0.976849	188
0	104	4	209	1.84325	81
0	104	8	185	2.95782	33
0	104	16	111	3.70282	13
0	104	32	85	2	4
0	104	64	79	-0	1
0	105	1	332	0.381474	304
0	105	2	260	0.93113	178
0	105	4	206	1.8259	82
0	105	8	182	3.10918	36
0	105	16	105	3.70282	13
0	105	32	87	2	4
0	105	64	79	-0	1
0	106	1	335	0.380584	303
0	106	2	257	0.947001	180
0	106	4	201	1.77524	79
0	106	8	182	3.07171	35
0	106	16	108	3.57782	13
0	106	32	86	1.5	4
0	106	64	79	-0	1
0	107	1	336	0.367089	288
0	107	2	255	0.912601	175
0	107	4	204	1.7719	80
0	107	8	178	3.06266	36
0	107	16	106	3.57782	13
0	107	32	87	2	4
0	107	64	79	-0	1
0	108	1	331	0.370716	292
0	108	2	260	0.917372	176
0	108	4	212	1.80226	81
0	108	8	177	3.09235	36
0	108	16	106	3.45282	13
0	108	32	87	2	4
0	108	64	79	-0	1
0	109	1	329	0.350502	270
0	109	2	255	0.877315	166
0	109	4	202	1.72467	78
0	109	8	176	2.91839	34
0	109	16	107	3.375	12
0	109	32	86	2	4
0	109	64	79	-0	1
0	110	1	331	0.377013	299
0	110	2	251	0.909551	167
0	110	4	211	1.75062	74
0	110	8	172	2.88326	34
0	110	16	108	3.20282	12
0	110	32	86	2	4
0	110	64	79	-0	1
0	111	1	325	0.353297	273
0	111	2	252	0.886373	168
0	111	4	207	1.72349	76
0	111	8	181	3.18156	36
0	111	16	108	3.20282	12
0	111	32	85	2	4
0	111	64	79	-0	1
0	112	1	319	0.347695	267
0	112	2	254	0.86301	158
0	112	4	203	1.67446	72
0	112	8	177	2.99646	34
0	112	16	105	3.375	12
0	112	32	86	2	4
0	112	64	79	-0	1
0	113	1	320	0.352367	272
0	113	2	247	0.884918	167
0	113	4	198	1.69253	74
0	113	8	176	2.98921	34
0	113	16	106	3.25	12
0	113	32	86	2	4
0	113	64	79	-0	1
0	114	1	323	0.35885	279
0	114	2	250	0.876304	160
0	114	4	204	1.65996	71
0	114	8	172	2.73704	31
0	114	16	108	3.25	12
0	114	32	86	2	4
0	114	64	79	-0	1
0	115	1	317	0.336336	255
0	115	2	248	0.843183	157
0	115	4	202	1.70557	75
0	115	8	178	2.86342	33
0	115	16	106	3.375	12
0	115	32	86	2	4
0	115	64	77	-0	1
0	116	1	311	0.343931	263
0	116	2	251	0.852926	157
0	116	4	210	1.64621	70
0	116	8	176	2.78709	31
0	116	16	106	3.5	12
0	116	32	86	2	4
0	116	64	79	-0	1
0	117	1	319	0.336336	255
0	117	2	238	0.84282	158
0	117	4	210	1.69638	76
0	117	8	172	2.70634	32
0	117	16	106	3.20282	12
0	117	32	87	2	4
0	117	64	77	-0	1
0	118	1	305	0.333463	252
0	118	2	243	0.83144	152
0	118	4	200	1.66566	75
0	118	8	168	2.65095	31
0	118	16	104	3.375	12
0	118	32	86	2	4
0	118	64	77	-0	1
0	119	1	309	0.329612	248
0	119	2	244	0.816368	149
0	119	4	205	1.70153	77
0	119	8	164	2.72728	33
0	119	16	106	3.20282	12
0	119	32	86	2	4
0	119	64	78	-0	1
0	120	1	320	0.348632	268
0	120	2	244	0.87846	165
0	120	4	200	1.75397	79
0	120	8	177	2.85181	32
0	120	16	103	3.25	12
0	120	32	86	2	4
0	120	64	79	-0	1
0	121	1	321	0.359771	280
0	121	2	251	0.885384	166
0	121	4	202	1.77348	79
0	121	8	184	2.9882	32
0	121	16	107	3.25	12
0	121	32	86	2	4
0	121	64	79	-0	1
0	122	1	331	0.357005	277
0	122	2	253	0.868534	159
0	122	4	209	1.77157	78
0	122	8	187	3.07686	34
0	122	16	109	3.25	12
0	122	32	86	2	4
0	122	64	79	-0	1
0	123	1	313	0.350502	270
0	123	2	251	0.853767	155
0	123	4	209	1.8091	82
0	123	8	182	3.05896	34
0	123	16	109	3.375	12
0	123	32	86	2	4
0	123	64	79	-0	1
0	124	1	318	0.349568	269
0	124	2	251	0.838939	148
0	124	4	210	1.77547	80
0	124	8	181	2.99063	33
0	124	16	107	3.5	12
0	124	32	87	2	4
0	124	64	79	-0	1
0	125	1	310	0.324764	243
0	125	2	245	0.80066	146
0	125	4	195	1.6949	79
0	125	8	174	2.87086	32
0	125	16	109	3.20282	12
0	125	32	87	2	4
0	125	64	78	-0	1
0	126	1	296	0.339195	258
0	126	2	244	0.833964	151
0	126	4	201	1.67774	74
0	126	8	178	2.95938	33
0	126	16	107	3.125	12
0	126	32	86	2	4
0	126	64	78	-0	1
0	127	1	307	0.327677	246
0	127	2	248	0.840381	158
0	127	4	200	1.68802	76
0	127	8	170	2.9324	34
0	127	16	106	3.375	12
0	127	32	86	2	4
0	127	64	78	-0	1
0	128	1	304	0.315941	234
0	128	2	236	0.804877	152
0	128	4	197	1.69053	78
0	128	8	178	2.96148	35
0	128	16	105	3.45282	13
0	128	32	86	2	4
0	128	64	78	-0	1
0	129	1	320	0.351435	271
0	129	2	250	0.867337	160
0	129	4	209	1.75575	77
0	129	8	184	3.07076	34
0	129	16	108	3.57782	13
0	129	32	86	2	4
0	129	64	79	-0	1
0	130	1	321	0.344874	264
0	130	2	249	0.868963	167
0	130	4	201	1.79087	84
0	130	8	173	2.93335	35
0	130	16	108	3.57782	13
0	130	32	86	2	4
0	130	64	79	-0	1
0	131	1	321	0.354226	274
0	131	2	248	0.852602	155
0	131	4	212	1.76741	79
0	131	8	182	3.07686	34
0	131	16	107	3.25	12
0	131	32	86	2	4
0	131	64	79	-0	1
0	132	1	334	0.367089	288
0	132	2	257	0.906183	171
0	132	4	215	1.78916	79
0	132	8	186	3.2246	36
0	132	16	111	3.5	12
0	132	32	86	2	4
0	132	64	79	-0	1
0	133	1	330	0.365267	286
0	133	2	257	0.913739	174
0	133	4	208	1.79366	81
0	133	8	190	3.31419	37
0	133	16	108	3.5	12
0	133	32	86	2	4
0	133	64	79	-0	1
0	134	1	325	0.359771	280
0	134	2	258	0.880731	164
0	134	4	211	1.8441	85
0	134	8	186	3.22397	37
0	134	16	109	3.5	12
0	134	32	86	2	4
0	134	64	79	-0	1
0	135	1	331	0.365267	286
0	135	2	260	0.897184	170
0	135	4	206	1.80915	84
0	135	8	180	3.11475	35
0	135	16	107	3.375	12
0	135	32	86	2	4
0	135	64	79	-0	1
0	136	1	329	0.373423	295
0	136	2	256	0.899903	167
0	136	4	208	1.79651	81
0	136	8	181	2.98297	33
0	136	16	108	3.25	12
0	136	32	86	2	4
0	136	64	79	-0	1
0	137	1	327	0.370716	292
0	137	2	264	0.896962	171
0	137	4	216	1.81352	80
0	137	8	178	3.03951	34
0	137	16	105	3.375	12
0	137	32	86	2	4
0	137	64	79	-0	1
0	138	1	333	0.371619	293
0	138	2	258	0.905333	171
0	138	4	220	1.80677	80
0	138	8	178	3.11475	35
0	138	16	107	3.375	12
0	138	32	85	2	4
0	138	64	79	-0	1
0	139	1	331	0.367997	289
0	139	2	254	0.903803	168
0	139	4	218	1.81784	81
0	139	8	178	3.1114	36
0	139	16	108	3.5	12
0	139	32	86	2	4
